序号,ticker,name,close,pct_change,change,volume,amount,amplitude,high,low,open,prev_close,volume_ratio,turnover,pe,pb,total_mcap,float_mcap,speed_5min,pct_5min,pct_60d,pct_ytd
732,688282,理工导航,48.31,2.44,1.15,3322.0,16014286.0,4.75,48.8,46.56,47.97,47.16,0.96,0.37,-77.3,3.31,4301005483.0,4301005483.0,0.02,0.21,-37.5,-23.92
734,601020,华钰矿业,18.93,2.44,0.45,133402.0,250146056.0,4.71,19.15,18.28,18.46,18.48,1.89,1.63,126.99,3.66,15521931733.0,15521931733.0,-0.05,-0.21,-41.97,-29.31
735,002276,万马股份,9.67,2.44,0.23,105261.0,100738171.98,3.71,9.73,9.38,9.4,9.44,1.75,1.05,38.66,1.61,9777099563.0,9738566547.0,-0.21,-0.21,-29.62,-42.65
737,600596,新安股份,10.11,2.43,0.24,174919.0,175474042.0,3.75,10.2,9.83,9.88,9.87,1.24,1.3,35.43,1.1,13644426165.0,13644426165.0,-0.2,0.1,-19.12,-11.08
738,002865,钧达股份,42.64,2.43,1.01,45922.0,195612097.0,3.19,43.28,41.95,42.24,41.63,1.47,2.05,234.27,3.29,13272384457.0,9531249185.0,-0.07,-0.07,-43.05,-21.92
739,002639,雪人集团,11.37,2.43,0.27,120547.0,136080215.28,3.51,11.45,11.06,11.09,11.1,1.63,1.83,617.63,3.45,8856720760.0,7500034487.0,-0.09,0.0,-36.97,-38.87
740,600178,东安动力,8.42,2.43,0.2,22802.0,19068775.0,3.04,8.43,8.18,8.18,8.22,1.91,0.49,-49.33,1.55,3927729276.0,3927729276.0,0.12,0.36,-25.09,-34.12
741,688296,和达科技,12.69,2.42,0.3,27205.0,34466574.0,6.86,12.99,12.14,12.39,12.39,2.18,2.53,-26.88,2.39,1362819200.0,1362819200.0,-0.47,-0.24,-10.0,-4.23
742,600152,维科技术,7.2,2.42,0.17,103053.0,74043730.0,4.41,7.28,6.97,6.97,7.03,1.28,1.95,-37.8,2.32,3809371500.0,3809371500.0,0.0,0.42,-44.44,-1.37
743,000737,北方铜业,13.57,2.42,0.32,350792.0,469978864.44,4.08,13.64,13.1,13.28,13.25,2.81,1.84,10.51,3.61,25847002023.0,25844597758.0,0.15,-0.15,-0.59,-11.02
744,603158,腾龙股份,8.87,2.42,0.21,101572.0,89656942.0,4.16,8.99,8.63,8.68,8.66,1.66,2.07,20.5,1.94,4353131213.0,4353131213.0,0.0,0.23,-35.63,-16.32
745,603489,八方股份,24.18,2.41,0.57,10855.0,26043697.0,3.18,24.26,23.51,23.72,23.61,0.89,0.46,31.69,2.07,5673062732.0,5673062732.0,0.17,0.25,-29.63,-20.54
746,600719,大连热电,7.22,2.41,0.17,121373.0,86263447.0,5.25,7.24,6.87,6.93,7.05,1.97,3.0,7.7,7.25,2921209112.0,2921209112.0,0.7,0.7,-2.17,10.74
748,002540,亚太科技,4.69,2.4,0.11,52163.0,24221304.0,2.84,4.7,4.57,4.59,4.58,1.55,0.61,37.0,1.07,5867865651.0,4024964369.0,0.0,0.0,-23.37,-33.0
749,000070,特发信息,13.69,2.39,0.32,297743.0,410810510.75,5.68,14.06,13.3,13.4,13.37,1.68,3.48,-311.7,11.88,11888299472.0,11728593191.0,-0.29,-0.29,-31.45,16.61
750,600293,三峡新材,2.57,2.39,0.06,176899.0,45391949.0,3.59,2.59,2.5,2.51,2.51,1.21,1.52,-29.85,1.75,2981572768.0,2981572768.0,0.39,0.0,-16.56,-18.41
751,605289,罗曼股份,106.22,2.39,2.48,31786.0,341473796.0,8.47,110.8,102.01,103.76,103.74,1.96,2.09,87.1,12.14,16210287310.0,16187766970.0,-0.05,0.21,15.19,127.01
752,002886,沃特股份,17.59,2.39,0.41,49007.0,86451972.0,3.84,17.89,17.23,17.25,17.18,1.39,2.34,88.99,2.53,4629750708.0,3677684905.0,-0.23,0.06,-20.3,-18.75
753,600938,中国海油,33.16,2.38,0.77,487532.0,1601713249.0,2.78,33.3,32.4,32.8,32.39,2.29,1.63,10.07,1.89,1576093274109.0,99148400000.0,0.3,-0.03,-12.51,11.65
754,600881,亚泰集团,1.72,2.38,0.04,930825.0,159561559.0,5.95,1.76,1.66,1.66,1.68,1.5,2.88,-6.19,12.93,5559299699.0,5559299699.0,0.0,0.0,19.44,-7.53
755,603011,合锻智能,18.06,2.38,0.42,205034.0,375233077.0,6.92,18.72,17.5,17.76,17.64,1.61,4.15,-77.82,4.79,8929124732.0,8929124732.0,-0.55,-0.61,-14.12,-23.83
756,300305,裕兴股份,4.73,2.38,0.11,38665.0,18236490.0,3.46,4.78,4.62,4.62,4.62,1.35,1.2,-9.13,0.92,1775643760.0,1520580993.0,0.0,0.64,-25.16,-20.5
757,603585,苏利股份,9.48,2.38,0.22,20330.0,19068870.0,4.1,9.55,9.17,9.25,9.26,1.82,0.75,30.31,0.96,2610373088.0,2567146184.0,-0.11,0.11,-32.53,-28.29
758,301560,众捷汽车,21.55,2.38,0.5,6554.0,14140250.0,4.66,21.86,20.88,21.05,21.05,1.24,1.07,-155.74,2.75,2620480000.0,1315843000.0,0.09,0.33,-47.67,-36.58
759,600367,红星发展,30.95,2.38,0.72,147273.0,460110945.0,6.65,31.9,29.89,30.73,30.23,1.79,4.57,92.13,4.25,10558001417.0,9965069983.0,-0.06,-0.06,36.58,77.26
761,002092,中泰化学,4.32,2.37,0.1,349630.0,148804269.0,3.79,4.32,4.16,4.22,4.22,1.77,1.36,-19.61,0.52,11188884313.0,11126356525.0,0.47,0.23,-35.23,-13.25
762,002201,九鼎新材,7.35,2.37,0.17,70884.0,51887218.32,3.34,7.4,7.16,7.21,7.18,1.27,1.18,76.48,4.08,4789526371.0,4424870153.0,0.0,0.14,-48.2,-35.53
763,600792,云煤能源,3.46,2.37,0.08,136887.0,46927079.0,4.14,3.49,3.35,3.38,3.38,1.9,1.23,-9.87,1.57,3840335656.0,3840335656.0,0.58,-0.29,-17.42,-10.82
765,000159,国际实业,5.18,2.37,0.12,44534.0,22884830.0,3.36,5.2,5.03,5.03,5.06,1.3,0.93,85.35,1.21,2489953444.0,2489862794.0,0.19,0.39,-22.34,-10.07
766,603165,荣晟环保,12.16,2.36,0.28,26110.0,31594833.0,3.54,12.27,11.85,11.85,11.88,1.37,0.83,12.54,1.62,3802777076.0,3802777076.0,0.08,0.0,-22.1,8.77
767,002210,飞马国际,2.17,2.36,0.05,351961.0,75698517.0,3.3,2.18,2.11,2.12,2.12,1.94,1.33,124.43,6.16,5774875120.0,5761931232.0,0.46,0.0,-12.85,-39.72
768,000006,深振业Ａ,6.06,2.36,0.14,95093.0,57387603.0,5.07,6.16,5.86,5.9,5.92,1.43,0.7,271.7,1.52,8180969979.0,8180908167.0,0.0,0.17,-38.66,-39.1
770,301362,民爆光电,118.64,2.36,2.74,36207.0,448995363.66,12.08,129.9,115.9,117.98,115.9,2.47,8.84,195.59,7.21,17314876361.0,4857676361.0,-0.72,-0.17,17.99,311.94
771,601698,中国卫通,25.3,2.35,0.58,168540.0,422710688.0,4.29,25.41,24.35,24.47,24.72,1.71,0.4,995.45,6.75,106876950924.0,106876950924.0,-0.24,0.2,-29.84,-29.13
772,300737,科顺股份,4.79,2.35,0.11,92713.0,44260915.2,4.06,4.86,4.67,4.69,4.68,1.13,1.05,20.92,1.35,5318127758.0,4249578932.0,0.0,-0.21,-28.08,-11.95
774,000782,恒申新材,6.11,2.35,0.14,82588.0,50835452.0,6.53,6.34,5.95,5.98,5.97,1.3,1.56,-195.28,2.59,4195013020.0,3226933097.0,0.0,0.0,-1.45,23.19
775,002729,好利科技,12.2,2.35,0.28,22199.0,27268893.0,4.03,12.5,12.02,12.35,11.92,1.57,1.27,58.16,3.94,2232233024.0,2140625017.0,-0.08,0.25,-33.41,-23.8
776,600255,鑫科材料,3.06,2.34,0.07,373550.0,113513966.0,3.01,3.07,2.98,2.99,2.99,1.61,2.07,83.94,3.74,5526809682.0,5526809682.0,0.0,0.66,-15.0,-20.52
777,603738,泰晶科技,32.85,2.34,0.75,197446.0,662031107.0,6.76,34.67,32.5,32.53,32.1,1.95,5.12,137.52,7.03,12676404112.0,12676404112.0,-0.03,0.18,-17.4,109.64
778,000875,电投绿能,5.25,2.34,0.12,338164.0,175789885.99,4.09,5.3,5.09,5.12,5.13,1.87,1.01,17.36,1.09,19043170787.0,17547491677.0,0.19,0.38,-18.35,-6.58
779,300080,易成新能,3.5,2.34,0.08,103093.0,35891344.72,4.39,3.53,3.38,3.39,3.42,2.17,0.55,-13.53,1.53,6556831526.0,6547907884.0,0.0,0.0,-20.81,-27.98
780,002489,浙江永强,2.62,2.34,0.06,99635.0,25902562.0,2.34,2.63,2.57,2.59,2.56,1.54,0.52,9.17,1.27,5682822740.0,5012116173.0,0.0,0.38,-19.38,-30.5
781,002656,摩登大道,2.64,2.33,0.06,76286.0,20229505.9,6.2,2.73,2.57,2.66,2.58,1.93,1.11,-336.19,4.56,1881052388.0,1812725292.0,0.0,0.38,-15.65,-6.38
782,600408,安泰集团,2.63,2.33,0.06,308830.0,80019737.0,4.67,2.65,2.53,2.54,2.57,1.79,3.07,-13.26,2.29,2647884000.0,2647884000.0,0.38,0.38,-16.24,-34.74
783,002846,英联股份,9.21,2.33,0.21,25649.0,23485078.0,3.33,9.28,8.98,9.0,9.0,1.34,0.99,77.21,2.73,3868141388.0,2396032625.0,-0.32,-0.32,-42.11,-42.87
785,301305,朗坤科技,20.61,2.33,0.47,37422.0,77575978.0,3.92,21.15,20.36,20.89,20.14,2.03,3.01,13.36,1.3,4986812170.0,2561726215.0,-0.29,-0.15,-26.08,-7.45
787,600909,华安证券,8.81,2.32,0.2,1122940.0,980491006.0,4.18,8.88,8.52,8.6,8.61,1.54,2.24,25.54,1.72,44263283739.0,44263283739.0,0.23,0.23,61.06,32.28
788,603278,大业股份,8.37,2.32,0.19,47543.0,39594763.0,4.28,8.48,8.13,8.13,8.18,1.16,1.39,-29.12,1.48,2860526111.0,2860526111.0,-0.12,0.12,-32.77,-50.88
789,603048,浙江黎明,15.53,2.31,0.35,12657.0,19943533.0,8.43,16.3,15.02,15.08,15.18,2.53,0.86,35.98,1.84,2281046400.0,2281046400.0,-0.06,-0.06,-29.57,-25.3
790,301079,邵阳液压,25.68,2.31,0.58,15434.0,39495829.75,4.26,25.95,24.88,25.1,25.1,1.23,2.01,226.83,5.86,2797379769.0,1975650020.0,-0.27,-0.04,-42.01,-18.71
791,600868,梅雁吉祥,2.66,2.31,0.06,339262.0,88873607.0,4.62,2.67,2.55,2.57,2.6,1.98,1.79,-85.88,2.61,5049075486.0,5049075486.0,0.38,0.38,-21.76,-20.36
792,600821,金开新能,7.12,2.3,0.16,1266513.0,885054485.0,6.9,7.2,6.72,6.82,6.96,3.12,6.44,-182.39,1.55,14007353665.0,14007353665.0,0.14,-0.28,-19.82,39.61
793,001228,永泰运,25.75,2.3,0.58,5639.0,14506317.0,3.85,26.14,25.17,25.17,25.17,1.03,0.71,19.35,1.58,2674513682.0,2056513682.0,0.16,0.0,-18.02,-0.77
794,601101,昊华能源,11.56,2.3,0.26,197798.0,222634336.0,6.19,11.62,10.92,11.31,11.3,1.7,1.37,13.01,1.39,16646376025.0,16646376025.0,0.17,-0.26,21.3,67.29
795,688063,派能科技,41.73,2.3,0.94,28503.0,118614446.0,4.09,42.25,40.58,40.77,40.79,1.46,1.16,114.84,1.11,10238841461.0,10238841461.0,0.1,-0.17,-44.61,-26.4
796,000751,锌业股份,4.45,2.3,0.1,238510.0,105069841.7,4.14,4.48,4.3,4.33,4.35,1.9,1.69,24.38,1.95,7189556148.0,6273916067.0,0.23,0.0,-31.85,9.07
797,000708,中信特钢,14.25,2.3,0.32,63803.0,89622527.0,3.37,14.27,13.8,13.89,13.93,1.39,0.13,11.9,1.7,71922010449.0,71921689824.0,0.07,0.14,-5.13,-10.49
799,001332,锡装股份,28.15,2.29,0.63,8770.0,24615291.4,3.96,28.44,27.35,27.5,27.52,1.27,1.31,11.92,1.67,4354410900.0,1891817963.0,0.04,0.11,-30.39,-29.24
800,601068,中铝国际,4.46,2.29,0.1,69788.0,30747531.0,3.21,4.47,4.33,4.38,4.36,1.63,0.27,44.0,4.33,13325749751.0,11415774375.0,0.0,0.0,-29.54,-15.69
801,002857,三晖电气,14.32,2.29,0.32,24313.0,34804654.0,3.29,14.51,14.05,14.17,14.0,1.58,1.89,-18.93,4.01,1870678880.0,1841339348.0,-0.07,0.28,-29.46,-30.95
804,603599,广信股份,10.74,2.29,0.24,99518.0,104771018.0,4.86,10.81,10.3,10.52,10.5,2.32,1.09,15.53,0.98,9776292765.0,9776292765.0,0.0,-0.46,-28.16,-4.62
805,605366,宏柏新材,7.16,2.29,0.16,107617.0,76992225.0,4.57,7.27,6.95,7.01,7.0,1.1,1.39,-49.36,2.07,5533446332.0,5533446332.0,-0.14,0.0,-46.84,15.48
806,601609,金田股份,9.84,2.29,0.22,103466.0,101242903.0,3.43,9.89,9.56,9.63,9.62,1.01,0.6,24.98,1.72,17009799819.0,17009799819.0,0.1,0.0,-4.28,-7.69
807,688633,星球石墨,21.08,2.28,0.47,11785.0,24740201.0,2.43,21.15,20.65,20.71,20.61,0.95,0.69,12.26,1.57,3592045280.0,3592045280.0,0.29,0.33,-36.12,-8.67
808,002021,中捷资源,2.24,2.28,0.05,134309.0,30156842.56,5.02,2.29,2.18,2.19,2.19,1.76,1.12,-113.54,4.37,2677869204.0,2677780876.0,-0.44,0.0,-24.58,-9.31
809,600039,四川路桥,9.44,2.28,0.21,125835.0,116832987.0,4.77,9.53,9.09,9.23,9.23,1.65,0.14,13.72,1.68,82086375689.0,82086375689.0,-0.74,0.32,-5.6,-5.13
810,301518,长华化学,21.97,2.28,0.49,9315.0,20250882.75,3.86,22.06,21.23,21.23,21.48,1.49,1.59,63.31,1.97,3195965245.0,1290507672.0,0.14,0.05,-46.88,-37.76
811,603285,键邦股份,31.45,2.28,0.7,18642.0,58202010.0,5.4,31.86,30.2,30.93,30.75,1.18,2.99,39.59,2.99,5032000000.0,1959233731.0,0.03,0.19,-23.37,30.5
812,002782,可立克,14.33,2.28,0.32,51235.0,73157522.22,3.78,14.5,13.97,14.1,14.01,1.36,1.05,69.76,3.32,7105014806.0,7020499146.0,-0.28,0.35,-32.5,-20.21
813,603916,苏博特,9.41,2.28,0.21,41078.0,38467201.0,3.26,9.47,9.17,9.18,9.2,1.26,0.98,32.76,0.94,3955284513.0,3955284513.0,0.21,0.32,-13.91,0.75
814,000951,中国重汽,22.46,2.28,0.5,44576.0,98668973.78,3.42,22.5,21.75,21.86,21.96,1.45,0.38,14.44,1.64,26255626599.0,26255626599.0,0.22,0.18,-1.96,37.03
815,002685,华东重机,4.93,2.28,0.11,145531.0,71424203.0,3.32,4.97,4.81,4.83,4.82,1.48,1.44,22.94,3.01,4967914860.0,4967248940.0,0.0,0.2,-38.07,-34.18
816,002929,润建股份,52.65,2.27,1.17,109620.0,575976298.45,5.71,53.69,50.75,51.27,51.48,2.26,5.06,299.12,2.38,15077792960.0,11402397811.0,-0.4,0.08,-7.16,32.45
817,601126,四方股份,43.76,2.27,0.97,123276.0,543113534.0,5.38,44.8,42.5,42.5,42.79,1.51,1.49,33.67,7.98,36456696680.0,36105737104.0,-0.27,-0.57,-11.11,49.05
818,301118,恒光股份,18.51,2.27,0.41,17697.0,32657793.0,4.59,18.73,17.9,17.92,18.1,1.25,1.67,21.24,1.5,2038154610.0,1960826438.0,-0.11,-0.05,-26.81,-25.24
819,002413,雷科防务,7.66,2.27,0.17,205724.0,157111536.0,3.2,7.7,7.46,7.49,7.49,1.43,1.59,-158.49,3.07,10106149954.0,9922997607.0,-0.13,0.0,-43.47,-38.96
820,600644,乐山电力,10.84,2.26,0.24,642006.0,675374378.0,10.57,11.13,10.01,10.2,10.6,3.88,11.1,455.34,3.03,6268997667.0,6268997667.0,0.46,-1.19,-11.37,11.29
821,002978,安宁股份,26.69,2.26,0.59,20399.0,53914218.46,3.49,26.82,25.91,26.03,26.1,2.33,0.55,20.59,1.46,12597411979.0,9856071403.0,-0.04,-0.19,-19.0,-18.5
823,603360,百傲化学,12.27,2.25,0.27,48147.0,58982484.0,4.92,12.48,11.89,12.0,12.0,1.17,0.68,109.25,6.15,8665364235.0,8665364235.0,-0.08,-0.08,-47.09,-61.92
824,300130,新国都,17.76,2.25,0.39,72980.0,129722930.04,3.8,17.98,17.32,17.32,17.37,1.91,1.68,23.61,2.32,10075344508.0,7710819133.0,0.06,-0.06,-21.28,-35.25
826,000151,中成股份,9.08,2.25,0.2,32187.0,29052270.0,3.04,9.12,8.85,8.88,8.88,1.61,1.05,47.48,3.64,3186229077.0,2796047031.0,0.22,0.22,-17.45,-23.57
827,300505,川金诺,16.9,2.24,0.37,64832.0,108127341.02,4.66,17.02,16.25,16.44,16.53,1.39,2.98,28.22,1.63,4645261139.0,3673404652.0,-0.18,-0.18,-34.32,-23.15
828,300600,国瑞科技,8.67,2.24,0.19,30789.0,26518062.0,4.01,8.74,8.4,8.48,8.48,1.82,1.05,-152.01,2.13,2551012942.0,2551012942.0,0.0,0.12,-34.07,-41.81
829,600063,皖维高新,5.48,2.24,0.12,238718.0,130262897.0,3.17,5.51,5.34,5.36,5.36,1.43,1.15,20.82,1.35,11338703341.0,11338703341.0,0.0,0.0,-21.04,-6.64
830,603356,华菱精工,13.24,2.24,0.29,11595.0,15329933.0,4.63,13.41,12.81,12.85,12.95,1.25,0.87,-21.19,5.84,1765421600.0,1765421600.0,0.3,0.68,-23.82,-6.69
831,002986,宇新股份,11.46,2.23,0.25,22367.0,25368773.83,3.75,11.54,11.12,11.2,11.21,0.92,0.74,-18.24,1.15,4356191152.0,3459057085.0,0.35,0.26,-21.93,6.51
832,301591,肯特股份,26.99,2.23,0.59,23784.0,64025199.08,2.95,27.26,26.48,26.64,26.4,1.54,5.32,43.87,3.23,2951518440.0,1206311249.0,-0.26,0.26,-14.04,-13.33
834,300268,佳沃食品,9.61,2.23,0.21,11251.0,10797781.0,5.0,9.83,9.36,9.45,9.4,1.49,0.84,-53.39,-1.62,1674062000.0,1284929075.0,0.52,0.42,-31.01,-24.69
835,300819,聚杰微纤,45.0,2.23,0.98,22195.0,101174702.28,6.54,46.9,44.02,44.05,44.02,1.46,1.65,161.46,7.8,6714225000.0,6064301250.0,-0.42,0.13,-18.14,30.66
836,300890,翔丰华,23.84,2.23,0.52,23186.0,55128775.2,4.25,24.08,23.09,23.09,23.32,1.45,2.12,30.41,1.33,2850786819.0,2605678600.0,-0.04,0.0,-44.04,-19.73
837,002778,中晟高科,13.74,2.23,0.3,8524.0,11714013.0,4.17,13.93,13.37,13.37,13.44,1.2,0.69,-75.83,5.34,1714110342.0,1695910888.0,0.22,0.22,-32.38,-35.0
838,300982,苏文电能,14.21,2.23,0.31,10939.0,15477552.0,3.88,14.44,13.9,13.9,13.9,1.04,0.56,-86.83,1.03,2940974725.0,2755278445.0,0.0,0.0,-32.81,-29.62
839,002203,海亮股份,18.79,2.23,0.41,163129.0,307428662.0,4.46,19.2,18.38,18.54,18.38,1.44,0.74,24.69,2.57,43062081598.0,41566134445.0,0.11,-0.27,6.94,49.84
840,002695,煌上煌,8.28,2.22,0.18,69543.0,57172947.0,4.94,8.4,8.0,8.13,8.1,1.42,1.36,25.4,1.68,4633370432.0,4234848096.0,-0.12,-0.12,-26.98,-28.87
841,002735,王子新材,10.13,2.22,0.22,83315.0,84158943.6,3.94,10.23,9.84,9.88,9.91,1.48,2.92,94.25,2.43,3801326596.0,2887651124.0,-0.2,0.1,-30.9,-43.82
843,600871,石化油服,2.3,2.22,0.05,1085086.0,247487446.0,3.11,2.32,2.25,2.25,2.25,1.63,0.8,53.24,4.54,43601205416.0,31158128407.0,0.44,0.0,-13.21,6.48
844,002255,海陆重工,7.83,2.22,0.17,71170.0,55390569.4,3.79,7.9,7.61,7.62,7.66,1.69,1.12,15.72,1.42,6505798661.0,4995322663.0,-0.13,-0.13,-25.64,-37.76
845,000985,大庆华科,13.88,2.21,0.3,7537.0,10383359.0,3.83,13.93,13.41,13.57,13.58,1.32,0.58,79.53,2.95,1799396260.0,1799396260.0,0.36,0.07,-27.25,-27.33
846,600967,内蒙一机,10.66,2.21,0.23,89399.0,94553434.0,3.16,10.69,10.36,10.37,10.43,2.25,0.53,32.79,1.54,18141131150.0,18141131150.0,0.0,0.09,-25.56,-36.17
849,002149,西部材料,32.82,2.21,0.71,124693.0,409476877.38,5.29,33.48,31.78,32.16,32.11,1.45,2.55,435.56,4.36,16023192473.0,16020730973.0,-0.09,-0.06,-43.22,-27.73
850,600563,法拉电子,129.69,2.21,2.8,31065.0,404095139.0,3.74,131.63,126.89,126.89,126.89,1.62,1.38,27.25,5.05,29180250000.0,29180250000.0,-0.36,-0.11,10.34,26.34
852,002870,香山股份,39.93,2.2,0.86,69722.0,290130745.0,9.24,42.98,39.37,42.88,39.07,6.55,5.41,-125.9,3.26,5273780145.0,5149435889.0,0.66,0.68,11.26,1.89
853,002629,仁智股份,4.18,2.2,0.09,83997.0,35079376.0,4.65,4.26,4.07,4.11,4.09,1.63,2.32,-112.22,28.24,1781089640.0,1514221678.0,0.24,0.48,-35.09,-38.71
854,688021,奥福科技,16.74,2.2,0.36,7525.0,12604152.0,5.74,17.23,16.29,16.3,16.38,1.37,0.98,29.26,1.46,1279165623.0,1279165623.0,0.0,0.3,-30.08,-8.27
855,300179,四方达,36.71,2.2,0.79,221955.0,825620795.79,7.57,38.52,35.8,36.64,35.92,2.08,5.93,103.84,15.83,17830925470.0,13728874741.0,-0.24,0.36,31.67,147.71
856,002303,美盈森,4.18,2.2,0.09,246443.0,103072662.0,5.13,4.27,4.06,4.08,4.09,0.92,2.55,26.08,1.46,6400933003.0,4041562818.0,0.0,0.24,28.62,5.82
857,600956,新天绿能,7.44,2.2,0.16,62826.0,46213048.0,3.57,7.46,7.2,7.25,7.28,1.77,0.27,11.7,1.35,33481989999.0,17469779757.0,0.54,0.27,-14.87,2.62
858,600141,兴发集团,29.46,2.19,0.63,142576.0,418128174.0,4.02,29.76,28.6,29.08,28.83,1.33,1.19,34.49,1.45,35403256187.0,35403256187.0,-0.1,-0.67,-9.41,-13.56
859,301665,泰禾股份,23.37,2.19,0.5,10981.0,25335570.0,3.8,23.5,22.63,22.9,22.87,1.08,1.05,19.62,2.96,10516500000.0,2434452900.0,-0.13,-0.13,-12.18,-16.06
860,603095,越剑智能,11.65,2.19,0.25,17966.0,20885349.0,3.42,11.79,11.4,11.4,11.4,1.36,0.7,52.91,1.29,3008836180.0,3008836180.0,0.0,0.17,-32.74,-34.7
861,300018,中元股份,10.79,2.18,0.23,46781.0,50221600.33,4.92,10.94,10.42,10.43,10.56,0.83,1.29,45.04,3.76,5273186683.0,3928040576.0,-0.28,0.09,-25.99,-1.01
862,000633,合金投资,4.68,2.18,0.1,48915.0,22792596.0,3.49,4.71,4.55,4.55,4.58,1.44,1.27,296.04,9.04,1802297826.0,1802279223.0,0.21,0.43,-28.55,-35.09
863,300772,运达股份,11.26,2.18,0.24,97965.0,109404653.48,5.72,11.37,10.74,11.01,11.02,2.04,1.4,46.34,1.32,8859905158.0,7858078400.0,-0.09,-0.27,-28.82,-40.74
864,300032,金龙机电,3.28,2.18,0.07,111782.0,36740187.0,4.05,3.33,3.2,3.22,3.21,1.64,1.39,-32.7,4.07,2634396314.0,2634396314.0,0.0,0.31,-39.93,-38.92
865,601969,海南矿业,8.89,2.18,0.19,200822.0,176569454.0,3.91,8.95,8.61,8.78,8.7,2.39,1.02,21.98,2.58,17642288130.0,17535317116.0,0.23,-0.34,-21.47,-24.66
866,002998,优彩资源,7.04,2.18,0.15,66590.0,46713338.0,3.48,7.12,6.88,6.88,6.89,0.95,2.46,15.12,1.43,2497905548.0,1904267911.0,0.14,0.14,-24.14,-4.61
867,003041,真爱美家,34.84,2.17,0.74,10532.0,36717416.5,5.1,35.47,33.73,34.39,34.1,1.5,0.77,267.51,3.41,5016960000.0,4766927256.0,-0.03,0.49,-44.01,-35.87
868,002470,金正大,1.88,2.17,0.04,527094.0,98459626.0,4.35,1.9,1.82,1.83,1.84,1.87,1.6,134.99,2.9,6177732155.0,6177183524.0,-0.53,0.0,-36.7,5.62
869,600319,亚星化学,5.17,2.17,0.11,35695.0,18300729.0,4.35,5.25,5.03,5.08,5.06,1.98,0.92,-9.44,5.94,2004457515.0,2004457515.0,0.19,0.39,-32.68,-44.29
870,300815,玉禾田,15.07,2.17,0.32,36979.0,55249138.46,3.25,15.12,14.64,14.66,14.75,1.72,0.95,9.14,1.32,6006781440.0,5883031422.0,0.2,0.13,-24.91,-32.81
871,000586,汇源通信,10.37,2.17,0.22,27657.0,28717191.0,4.73,10.57,10.09,10.09,10.15,1.28,1.45,-90.45,6.3,2005972800.0,1982640300.0,0.0,-0.1,-43.7,-23.36
872,002757,南兴股份,15.59,2.16,0.33,63296.0,98816239.72,5.31,15.93,15.12,15.28,15.26,1.74,2.24,26.52,2.3,4606157684.0,4397209715.0,0.0,0.13,-30.12,-19.1
873,605066,天正电气,6.16,2.16,0.13,37712.0,23149823.0,2.99,6.2,6.02,6.03,6.03,1.71,0.75,40.04,1.78,3094988050.0,3094988050.0,0.33,0.49,-17.98,-14.44
874,601677,明泰铝业,16.59,2.16,0.35,154826.0,254043860.0,3.69,16.67,16.07,16.15,16.24,1.59,1.25,7.35,1.06,20626191502.0,20626191502.0,0.12,0.06,-7.94,13.79
875,600438,通威股份,11.33,2.16,0.24,293370.0,329457906.0,3.88,11.41,10.98,11.0,11.09,2.01,0.65,-5.22,1.46,51007557350.0,51007557350.0,0.18,0.18,-36.53,-44.79
876,002066,瑞泰科技,20.34,2.16,0.43,25848.0,52909448.0,4.77,20.75,19.8,19.9,19.91,1.87,1.12,-373.74,7.68,4778008380.0,4698540000.0,-0.1,-0.15,-12.4,8.89
878,002556,辉隆股份,4.74,2.16,0.1,46151.0,21701746.0,2.59,4.76,4.64,4.66,4.64,1.99,0.49,20.68,1.24,4431619638.0,4427354354.0,-0.21,0.0,-28.4,-20.2
879,600724,宁波富达,4.72,2.16,0.1,33731.0,15784655.0,3.03,4.74,4.6,4.61,4.62,0.95,0.23,28.4,2.48,6821537855.0,6820129374.0,0.0,0.43,-33.05,-16.31
880,300313,天山生物,7.56,2.16,0.16,24161.0,18098280.0,4.73,7.65,7.3,7.4,7.4,1.67,1.22,108.9,49.34,1812729195.0,1491987085.0,-0.13,0.53,-14.09,-5.85
881,600131,国网信通,15.71,2.15,0.33,77593.0,121355998.0,3.38,15.78,15.26,15.28,15.38,2.45,0.65,40.68,2.86,18826157741.0,18787669891.0,0.19,0.32,-13.68,-2.36
882,600855,航天长峰,11.4,2.15,0.24,36031.0,40986818.0,2.87,11.47,11.15,11.16,11.16,1.48,0.77,-35.83,3.82,5341387099.0,5331092899.0,-0.09,0.18,-39.46,-45.82
883,603137,恒尚节能,25.2,2.15,0.53,177978.0,435936709.0,7.82,25.6,23.67,24.5,24.67,2.69,9.73,31.83,3.85,4609920017.0,4609920017.0,-0.71,-0.08,91.78,83.41
884,300899,上海凯鑫,24.21,2.15,0.51,3332.0,8067815.0,6.03,24.79,23.36,23.59,23.7,1.1,0.81,-34.26,2.52,1544197712.0,991062158.0,0.29,-0.04,-33.47,-25.05
885,688069,德林海,35.18,2.15,0.74,7161.0,24978493.0,5.98,35.4,33.34,33.34,34.44,0.74,0.46,-193.14,4.44,5510350206.0,5510350206.0,0.86,1.12,37.42,122.24
887,603798,康普顿,11.48,2.14,0.24,24625.0,28387055.0,5.96,11.8,11.13,11.14,11.24,1.31,0.96,15.85,2.42,2944041982.0,2944041982.0,0.0,-0.09,-33.49,-30.04
