ticker,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct
002141,163049400.0,15.72,200030280.0,19.29,-36980880.0,-3.57,-75049621.0,-7.24,-87999766.0,-8.49
600172,160802236.0,9.49,163220492.0,9.64,-2418256.0,-0.14,-41101648.0,-2.43,-119704176.0,-7.07
600666,157543327.0,25.97,143473969.0,23.65,14069358.0,2.32,-54485687.0,-8.98,-103051689.0,-16.99
000807,155565456.0,8.55,98492720.0,5.42,57072736.0,3.14,-60504736.0,-3.33,-95060704.0,-5.23
603318,154429447.0,39.03,151634083.0,38.32,2795364.0,0.71,-71656698.0,-18.11,-82772749.0,-20.92
002083,150585071.0,31.35,132029150.0,27.49,18555921.0,3.86,-66031929.0,-13.75,-84553142.0,-17.6
603459,147857904.0,8.83,102130496.0,6.1,45727408.0,2.73,-80517712.0,-4.81,-67331250.0,-4.02
603799,146201025.0,8.31,76187809.0,4.33,70013216.0,3.98,-38910304.0,-2.21,-107286624.0,-6.1
000779,146093458.0,22.05,49891860.0,7.53,96201598.0,14.52,18510637.0,2.79,-164604095.0,-24.85
002536,145453472.0,9.92,200463520.0,13.67,-55010048.0,-3.75,-87943088.0,-6.0,-57510377.0,-3.92
