序号,ticker,name,close,pct_change,change,volume,amount,amplitude,high,low,open,prev_close,volume_ratio,turnover,pe,pb,total_mcap,float_mcap,speed_5min,pct_5min,pct_60d,pct_ytd,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct
33,002762,金发拉比,7.45,10.04,0.68,38054.0,27617278.8,10.04,7.45,6.77,6.77,6.77,4.57,1.8,5563.86,4.05,2637486250.0,1574769333.0,0.0,0.0,-8.14,9.08,6224602.0,22.51,6343255.0,22.94,-118653.0,-0.43,-2408236.0,-8.71,-3816366.0,-13.8
34,605189,富春染织,15.02,10.04,1.37,179405.0,259929015.0,11.5,15.02,13.45,13.59,13.65,2.52,7.53,12.2,1.48,3578288784.0,3578288784.0,0.0,0.0,-16.09,-3.53,54483814.0,20.95,40420925.0,15.54,14062889.0,5.41,-22860919.0,-8.79,-31622897.0,-12.16
36,603221,爱丽家居,12.73,10.03,1.16,1499.0,1908227.0,0.0,12.73,12.73,12.73,11.57,0.25,0.06,-52.49,1.98,3112994200.0,3084097100.0,0.0,0.0,6.26,-2.82,1297187.0,67.98,1297187.0,67.98,0.0,0.0,-524476.0,-27.48,-772711.0,-40.49
37,001382,新亚电缆,16.57,10.03,1.51,63987.0,103065198.24,10.56,16.57,14.98,14.99,15.06,8.83,10.16,66.31,4.24,6826840000.0,1043910000.0,0.0,0.0,-17.81,-18.89,27875486.0,27.04,13583950.0,13.18,14291536.0,13.86,-9497252.0,-9.21,-18378234.0,-17.83
38,600379,宝光股份,11.52,10.03,1.05,121940.0,136572154.0,9.55,11.52,10.52,10.52,10.47,2.31,3.69,103.12,4.89,3803922017.0,3803922017.0,0.0,0.0,-10.49,-0.95,34437953.0,25.21,20706334.0,15.16,13731619.0,10.05,-14626978.0,-10.71,-19810975.0,-14.5
39,605162,新中港,8.45,10.03,0.77,131118.0,109499594.0,3.65,8.45,8.17,8.34,7.68,3.55,2.96,77.05,2.36,3742051328.0,3742051328.0,0.0,0.0,-28.63,0.84,22844742.0,20.86,17552234.0,16.03,5292508.0,4.83,-12354834.0,-11.28,-10489908.0,-9.58
40,002088,鲁阳节能,7.57,10.03,0.69,57305.0,42884774.49,6.1,7.57,7.15,7.28,6.88,6.43,1.13,330.82,1.62,3857908078.0,3830152272.0,0.0,0.0,-23.46,-25.57,8910764.0,20.78,4180585.0,9.75,4730179.0,11.03,-4243758.0,-9.9,-4667004.0,-10.88
41,003001,中岩大地,18.54,10.03,1.69,269215.0,483482107.5,13.95,18.54,16.19,16.6,16.85,4.97,23.54,122.31,2.74,3236164305.0,2120356430.0,0.0,0.0,15.08,-7.53,71484643.0,14.76,66712955.0,13.77,4771688.0,0.99,-33263383.0,-6.87,-38221260.0,-7.89
42,002774,快意电梯,16.89,10.03,1.54,82562.0,135315353.5,11.01,16.89,15.2,15.54,15.35,2.03,2.93,-719.21,5.11,5686658631.0,4759064645.0,0.0,0.0,52.44,88.08,30698812.0,22.68,30291770.0,22.38,407042.0,0.3,-14314136.0,-10.58,-16384676.0,-12.11
43,603618,杭电股份,28.22,10.02,2.57,319786.0,870263425.0,10.21,28.22,25.6,25.66,25.65,1.93,4.63,60.34,7.21,19510619884.0,19510619884.0,0.0,0.0,-7.66,250.12,255677250.0,29.33,260660446.0,29.91,-4983196.0,-0.57,-110512251.0,-12.68,-145164991.0,-16.66
44,002713,东易日盛,9.66,10.02,0.88,158505.0,148393278.43,8.31,9.66,8.93,9.01,8.78,3.35,3.01,-134.97,10.58,9190574077.0,5085998027.0,0.0,0.0,-25.64,7.57,22054632.0,14.86,25701535.0,17.32,-3646903.0,-2.46,-13425782.0,-9.05,-8628849.0,-5.81
45,600980,北矿科技,17.67,10.02,1.61,17714.0,31235698.0,2.43,17.67,17.28,17.28,16.06,2.42,0.94,25.11,2.23,3414966504.0,3344286504.0,0.0,0.0,-21.33,-22.64,19799051.0,63.24,25563112.0,81.65,-5764061.0,-18.41,-9118819.0,-29.13,-10680232.0,-34.11
46,001208,华菱线缆,13.61,10.02,1.24,194422.0,255500623.88,10.67,13.61,12.29,12.31,12.37,3.95,6.1,71.34,3.0,8687949380.0,4337965072.0,0.0,0.0,-31.47,-43.24,84176632.0,32.94,57334815.0,22.43,26841817.0,10.5,-27010013.0,-10.57,-57166619.0,-22.37
